Temperatura,Pressao,Vibracao,Status
212.36,12.2,6.42,-1
319.6,32.0,1.62,-1
279.6,45.6,8.99,1
146.81,73.53,6.06,1
146.8,27.45,0.09,-1
117.43,38.73,1.01,-1
359.85,62.89,6.64,1
280.33,26.02,0.05,-1
312.42,15.39,1.61,-1
106.18,30.28,5.49,-1
390.97,21.29,6.92,-1
349.73,75.08,6.52,1
163.7,66.57,2.24,-1
257.43,23.06,7.46,-1
229.58,72.48,6.5,1
283.56,66.52,6.58,1
141.85,72.73,5.68,1
187.64,32.26,0.94,-1
209.91,17.7,3.68,-1
236.82,25.96,2.65,-1
335.55,39.9,2.44,-1
159.9,67.26,9.73,1
254.27,70.25,3.93,1
277.72,10.49,8.92,-1
113.94,45.75,6.31,-1
151.16,25.55,5.03,-1
119.52,18.39,5.77,-1
384.67,33.63,4.93,-1
389.69,76.0,1.95,1
191.38,46.32,2.81,-1
129.3,59.21,0.24,-1
305.27,35.45,6.45,-1
232.05,78.02,1.77,1
136.61,77.37,9.4,1
248.55,27.62,9.54,-1
110.32,44.81,9.15,-1
372.8,31.06,3.7,-1
177.63,29.94,0.15,-1
298.76,12.58,9.28,-1
193.51,52.67,4.28,-1
256.02,45.19,9.67,1
264.01,13.6,9.64,-1
155.46,29.51,8.53,-1
390.88,73.58,2.94,1
332.54,26.77,3.85,-1
381.85,20.14,8.51,-1
368.45,44.26,3.17,-1
279.37,79.0,1.69,1
376.56,26.94,5.57,-1
126.55,57.05,9.36,1
158.79,63.31,6.96,1
113.57,26.63,5.7,-1
197.6,60.98,0.97,-1
216.6,35.74,6.15,-1
181.4,54.26,9.9,1
348.62,54.35,1.4,-1
207.03,47.5,5.18,-1
184.28,16.32,8.77,-1
262.81,68.47,7.41,1
142.28,32.45,6.97,-1
340.66,23.06,7.02,-1
122.37,12.85,3.59,-1
331.67,57.43,8.09,1
159.61,11.16,8.1,-1
101.66,45.85,8.67,-1
312.06,55.16,5.11,1
318.7,22.21,5.02,-1
331.38,58.37,7.98,1
122.21,37.07,6.5,-1
207.54,75.57,7.02,1
134.76,19.63,7.96,-1
358.93,33.87,8.9,1
286.99,17.94,3.38,-1
199.27,74.73,3.76,1
119.07,71.41,0.94,-1
193.29,28.06,5.78,-1
197.55,56.2,0.36,-1
318.88,67.21,4.66,1
241.66,26.93,5.91,-1
135.88,16.52,0.31,-1
313.97,72.81,0.37,1
328.24,73.03,8.23,1
331.29,33.73,1.27,-1
248.14,34.44,5.22,-1
256.82,60.82,7.7,1
107.63,72.1,6.23,1
132.37,64.59,0.85,-1
